"SystemCodeNumber","t","Occupancy","Capacity","QueueSmoothed","TrafficLevel","IsSpecialDay","VehicleWeight","price","time","diff"
"Others-CCCPS98","2016-10-04T10:26:00.000000000","1142","3103","1.6094379124341003","0","0","1.0","11.922749894019178","1752076774868","1"
"Others-CCCPS8","2016-10-04T10:26:00.000000000","715","1322","1.3862943611198906","0","0","1.0","11.983994381770234","1752076774868","1"
"Broad Street","2016-10-04T10:26:00.000000000","642","690","1.6094379124341003","0","0","1.0","12.485153738825744","1752076774868","1"
"BHMBCCMKT01","2016-10-04T10:26:00.000000000","177","577","1.3862943611198906","0","0","1.0","11.749906279346774","1752076774870","1"
"Others-CCCPS202","2016-10-04T10:26:00.000000000","1257","2937","1.3862943611198906","0","0","1.0","11.871134923154429","1752076774882","1"
"Others-CCCPS119a","2016-10-04T10:26:00.000000000","525","2803","1.6094379124341003","0","0","0.3","11.217018278371885","1752076774882","1"
"Others-CCCPS105a","2016-10-04T10:26:00.000000000","1245","2009","1.6094379124341003","0","0","2.0","12.924430255370858","1752076774882","1"
"BHMNCPHST01","2016-10-04T10:26:00.000000000","686","1200","1.6094379124341003","1","0","1.0","11.726385622883717","1752076774882","1"
"BHMMBMMBX01","2016-10-04T10:26:00.000000000","530","687","1.791759469228055","1","0","1.0","12.017349894730476","1752076774882","1"
"Shopping","2016-10-04T10:26:00.000000000","1324","1920","1.6094379124341003","0","0","1.0","12.244302289550383","1752076774882","1"
"Others-CCCPS135a","2016-10-04T10:26:00.000000000","3035","3883","1.791759469228055","0","0","1.0","12.42749189016386","1752076774882","1"
"BHMNCPHST01","2016-10-04T10:59:00.000000000","729","1200","1.6094379124341003","1","0","1.0","11.76221895621705","1752076774894","1"
"Others-CCCPS135a","2016-10-04T10:59:00.000000000","3169","3883","1.9459101490553132","1","0","1.0","12.139076630025983","1752076774894","1"
"Others-CCCPS202","2016-10-04T10:59:00.000000000","1354","2937","2.0794415416798357","2","0","0.5","11.07573541162984","1752076774894","1"
"BHMMBMMBX01","2016-10-04T10:59:00.000000000","573","687","1.6094379124341003","1","0","1.0","11.988780091588229","1752076774894","1"
"Shopping","2016-10-04T10:59:00.000000000","1387","1920","1.791759469228055","1","0","1.0","11.968275567947362","1752076774894","1"
"Others-CCCPS98","2016-10-04T10:59:00.000000000","1210","3103","1.791759469228055","1","0","1.0","11.635824948922762","1752076774894","1"
"BHMNCPNST01","2016-10-04T10:26:00.000000000","351","485","1.3862943611198906","0","0","1.0","12.16685852076613","1752076774894","1"
"BHMBCCTHL01","2016-10-04T10:26:00.000000000","264","387","1.3862943611198906","0","0","1.0","12.125317723195604","1752076774894","1"
"Broad Street","2016-10-04T10:59:00.000000000","675","690","1.6094379124341003","1","0","0.5","11.757979825782268","1752076774894","1"
"BHMBCCMKT01","2016-10-04T10:59:00.000000000","219","577","1.9459101490553132","2","0","2.0","12.05250446794187","1752076774906","1"
"Others-CCCPS119a","2016-10-04T10:59:00.000000000","574","2803","1.6094379124341003","1","0","2.0","12.109499548439668","1752076774906","1"
"BHMEURBRD01","2016-10-04T10:59:00.000000000","458","470","1.9459101490553132","2","0","0.3","11.372423159634039","1752076774906","1"
"BHMBCCTHL01","2016-10-04T10:59:00.000000000","308","387","1.6094379124341003","1","0","1.0","11.950584589291985","1752076774906","1"
"BHMNCPNST01","2016-10-04T10:59:00.000000000","371","485","1.9459101490553132","2","0","1.0","11.687903528135903","1752076774906","1"
"Others-CCCPS8","2016-10-04T10:59:00.000000000","791","1322","1.6094379124341003","1","0","1.0","11.753054810982558","1752076774906","1"
"Others-CCCPS105a","2016-10-04T10:59:00.000000000","1364","2009","1.791759469228055","1","0","0.5","11.549824483245189","1752076774906","1"
"Shopping","2016-10-04T11:25:00.000000000","1428","1920","1.9459101490553132","1","0","2.0","12.816705074527658","1752076774906","1"
"Others-CCCPS8","2016-10-04T11:25:00.000000000","820","1322","1.791759469228055","1","0","2.0","12.616152049288763","1752076774916","1"
"BHMNCPHST01","2016-10-04T11:25:00.000000000","765","1200","1.791759469228055","1","0","1.0","11.883379734614028","1752076774916","1"
"Others-CCCPS105a","2016-10-04T11:25:00.000000000","1424","2009","1.9459101490553132","1","0","0.5","11.656765427937312","1752076774916","1"
"BHMBCCMKT01","2016-10-04T11:25:00.000000000","247","577","1.791759469228055","1","0","1.0","11.67395599111316","1752076774916","1"
"BHMEURBRD01","2016-10-04T11:25:00.000000000","464","470","1.791759469228055","1","0","1.0","12.233113777167219","1752076774916","1"
"BHMMBMMBX01","2016-10-04T11:25:00.000000000","604","687","1.791759469228055","1","0","0.5","11.75006459633164","1752076774916","1"
"Others-CCCPS135a","2016-10-04T11:25:00.000000000","3221","3883","2.0794415416798357","1","0","2.0","12.969234033780943","1752076774916","1"
"Others-CCCPS202","2016-10-04T11:25:00.000000000","1369","2937","1.9459101490553132","1","0","0.5","11.414076967615843","1752076774916","1"
"Others-CCCPS98","2016-10-04T11:25:00.000000000","1241","3103","2.302585092994046","2","0","2.0","12.251228092742592","1752076774916","1"
"BHMNCPNST01","2016-10-04T11:25:00.000000000","373","485","2.0794415416798357","2","0","2.0","12.508792935788371","1752076774928","1"
"Others-CCCPS98","2016-10-04T11:59:00.000000000","1288","3103","1.9459101490553132","1","0","0.5","11.363037253064556","1752076774928","1"
"Broad Street","2016-10-04T11:25:00.000000000","672","690","1.9459101490553132","1","0","1.0","12.296868118005918","1752076774928","1"
"BHMBCCMKT01","2016-10-04T11:59:00.000000000","259","577","1.791759469228055","1","0","0.3","11.169753218149555","1752076774928","1"
"BHMBCCTHL01","2016-10-04T11:25:00.000000000","324","387","1.791759469228055","1","0","0.5","11.708089036939608","1752076774928","1"
"BHMBCCTHL01","2016-10-04T11:59:00.000000000","332","387","1.791759469228055","1","0","1.0","12.103760871564933","1752076774928","1"
"Others-CCCPS119a","2016-10-04T11:59:00.000000000","605","2803","1.791759469228055","1","0","1.0","11.461719905859123","1752076774928","1"
"Others-CCCPS119a","2016-10-04T11:25:00.000000000","588","2803","1.791759469228055","1","0","2.0","12.205654975427443","1752076774928","1"
"Others-CCCPS135a","2016-10-04T11:59:00.000000000","3248","3883","2.0794415416798357","1","0","0.5","11.85118742033773","1752076774928","1"
"Others-CCCPS202","2016-10-04T11:59:00.000000000","1390","2937","1.9459101490553132","1","0","1.0","11.79622712083341","1752076774928","1"
"Others-CCCPS105a","2016-10-04T11:59:00.000000000","1470","2009","1.9459101490553132","1","0","0.5","11.679662391600827","1752076774940","1"
"BHMNCPNST01","2016-10-04T11:59:00.000000000","381","485","2.0794415416798357","2","0","1.0","11.775287781149197","1752076774940","1"
"Shopping","2016-10-04T12:29:00.000000000","1460","1920","2.3978952727983707","2","0","0.3","11.384364303065853","1752076774940","1"
"BHMMBMMBX01","2016-10-04T11:59:00.000000000","634","687","1.791759469228055","1","0","0.5","11.793732718602383","1752076774940","1"
"Broad Street","2016-10-04T11:59:00.000000000","677","690","2.0794415416798357","2","0","1.0","11.970880191129773","1752076774940","1"
"BHMEURBRD01","2016-10-04T11:59:00.000000000","460","470","1.791759469228055","1","0","0.5","11.849603138869346","1752076774940","1"
"BHMNCPHST01","2016-10-04T11:59:00.000000000","771","1200","1.9459101490553132","1","0","1.0","11.965455074527656","1752076774940","1"
"Others-CCCPS8","2016-10-04T11:59:00.000000000","836","1322","2.1972245773362196","2","0","1.0","11.680987477775522","1752076774940","1"
"Others-CCCPS135a","2016-10-04T12:29:00.000000000","3251","3883","2.4849066497880004","2","0","1.0","12.02969257289812","1752076774940","1"
"Shopping","2016-10-04T11:59:00.000000000","1447","1920","1.9459101490553132","1","0","1.0","12.07660090786099","1752076774940","1"
"BHMBCCTHL01","2016-10-04T12:29:00.000000000","334","387","2.1972245773362196","2","0","1.0","11.911661384275344","1752076774952","1"
"Others-CCCPS98","2016-10-04T12:29:00.000000000","1297","3103","2.3978952727983707","2","0","2.0","12.316930233885488","1752076774952","1"
"BHMMBMMBX01","2016-10-04T12:29:00.000000000","648","687","2.302585092994046","2","0","0.5","11.669523987545059","1752076774952","1"
"Broad Street","2016-10-04T12:29:00.000000000","683","690","2.302585092994046","2","0","1.0","12.091147618960791","1752076774952","1"
"BHMEURBRD01","2016-10-04T12:29:00.000000000","464","470","2.1972245773362196","2","0","1.0","12.0358463312213","1752076774952","1"
"Others-CCCPS202","2016-10-04T12:29:00.000000000","1397","2937","2.3978952727983707","2","0","1.0","11.624603067110794","1752076774952","1"
"Others-CCCPS105a","2016-10-04T12:29:00.000000000","1484","2009","2.3978952727983707","2","0","1.0","11.887623594587339","1752076774952","1"
"BHMNCPHST01","2016-10-04T12:29:00.000000000","779","1200","2.302585092994046","2","0","0.3","11.225459213163688","1752076774952","1"
"Others-CCCPS119a","2016-10-04T12:29:00.000000000","604","2803","2.302585092994046","2","0","1.0","11.316775957128488","1752076774952","1"
"BHMBCCMKT01","2016-10-04T12:29:00.000000000","266","577","2.1972245773362196","2","0","0.5","11.13461748797487","1752076774952","1"
"BHMNCPNST01","2016-10-04T12:29:00.000000000","379","485","1.9459101490553132","1","0","1.0","12.10439837349673","1752076774962","1"
"Others-CCCPS8","2016-10-04T13:02:00.000000000","810","1322","2.1972245773362196","2","0","1.0","11.661320306822422","1752076774962","1"
"BHMNCPNST01","2016-10-04T12:56:00.000000000","374","485","2.1972245773362196","2","0","0.5","11.444746309286666","1752076774962","1"
"Others-CCCPS8","2016-10-04T12:29:00.000000000","836","1322","2.302585092994046","2","0","1.0","11.733667735604437","1752076774962","1"
"Shopping","2016-10-04T13:02:00.000000000","1448","1920","2.302585092994046","2","0","1.0","11.855459213163691","1752076774962","1"
"Others-CCCPS135a","2016-10-04T13:02:00.000000000","3232","3883","2.3978952727983707","2","0","1.0","11.981293760530011","1752076774962","1"
"Others-CCCPS202","2016-10-04T13:02:00.000000000","1367","2937","2.302585092994046","2","0","1.0","11.566733472612105","1752076774984","1"
"BHMEURBRD01","2016-10-04T13:02:00.000000000","458","470","2.1972245773362196","2","0","1.0","12.023080373774492","1752076774984","1"
"BHMBCCTHL01","2016-10-04T13:02:00.000000000","333","387","2.0794415416798357","2","0","1.0","11.850185887118986","1752076774984","1"
"BHMMBMMBX01","2016-10-04T13:02:00.000000000","651","687","1.9459101490553132","1","0","2.0","13.020553327802766","1752076774984","1"
"Others-CCCPS105a","2016-10-04T13:02:00.000000000","1461","2009","2.1972245773362196","2","0","0.5","11.400839765024507","1752076774984","1"
"Broad Street","2016-10-04T13:02:00.000000000","660","690","2.1972245773362196","2","0","0.5","11.630134027798544","1752076774984","1"
"BHMNCPHST01","2016-10-04T13:02:00.000000000","773","1200","2.0794415416798357","2","0","2.0","12.383887437506583","1752076774984","1"
"Others-CCCPS98","2016-10-04T13:02:00.000000000","1288","3103","2.302585092994046","2","0","0.5","11.141374725033923","1752076774984","1"
"BHMBCCMKT01","2016-10-04T13:02:00.000000000","269","577","2.0794415416798357","2","0","1.0","11.455925276905777","1752076774984","1"
"BHMNCPNST01","2016-10-04T13:29:00.000000000","375","485","2.0794415416798357","2","0","0.5","11.387916647128577","1752076775012","1"
"Broad Street","2016-10-04T13:29:00.000000000","648","690","2.1972245773362196","2","0","0.3","11.462742723450718","1752076775012","1"
"BHMEURBRD01","2016-10-04T13:29:00.000000000","450","470","2.1972245773362196","2","0","1.0","12.006059097178747","1752076775012","1"
"BHMBCCMKT01","2016-10-04T13:29:00.000000000","263","577","2.0794415416798357","2","0","1.0","11.445526663387577","1752076775012","1"
"Others-CCCPS105a","2016-10-04T13:29:00.000000000","1459","2009","2.1972245773362196","2","0","1.0","11.774844244865223","1752076775012","1"
"Others-CCCPS98","2016-10-04T13:29:00.000000000","1273","3103","2.1972245773362196","2","0","0.3","10.93386043562267","1752076775012","1"
"Others-CCCPS119a","2016-10-04T13:02:00.000000000","596","2803","2.1972245773362196","2","0","1.0","11.26124161439055","1752076775012","1"
"Others-CCCPS8","2016-10-04T13:29:00.000000000","811","1322","2.1972245773362196","2","0","2.0","12.412076736474464","1752076775012","1"
"BHMNCPHST01","2016-10-04T13:29:00.000000000","758","1200","1.9459101490553132","1","0","1.0","11.954621741194323","1752076775012","1"
"BHMBCCTHL01","2016-10-04T13:29:00.000000000","331","387","2.0794415416798357","2","0","1.0","11.845017928462658","1752076775012","1"
"Others-CCCPS135a","2016-10-04T13:29:00.000000000","3184","3883","2.3978952727983707","2","0","0.5","11.59393218442906","1752076775012","1"
"Others-CCCPS202","2016-10-04T13:29:00.000000000","1360","2937","2.302585092994046","2","0","1.0","11.56435008820625","1752076775012","1"
"Shopping","2016-10-04T13:29:00.000000000","1432","1920","2.302585092994046","2","0","0.3","11.322125879830356","1752076775012","1"
"BHMMBMMBX01","2016-10-04T13:29:00.000000000","648","687","2.1972245773362196","2","0","1.0","11.991843729716145","1752076775012","1"
"Others-CCCPS119a","2016-10-04T13:29:00.000000000","581","2803","2.0794415416798357","2","0","1.0","11.196998687357933","1752076775012","1"
"Others-CCCPS119a","2016-10-04T14:02:00.000000000","576","2803","1.6094379124341003","1","0","1.0","11.360213069666925","1752076775024","1"
"Others-CCCPS8","2016-10-04T14:02:00.000000000","815","1322","1.6094379124341003","1","0","2.0","12.521209122631573","1752076775024","1"
"Others-CCCPS105a","2016-10-04T14:02:00.000000000","1452","2009","1.791759469228055","1","0","1.0","11.968627370253648","1752076775024","1"
"BHMNCPNST01","2016-10-04T14:02:00.000000000","381","485","1.791759469228055","1","0","1.0","12.031446744923306","1752076775024","1"
"Others-CCCPS98","2016-10-04T14:02:00.000000000","1262","3103","1.791759469228055","1","0","1.0","11.652582925074872","1752076775024","1"
"BHMNCPHST01","2016-10-04T14:02:00.000000000","757","1200","1.791759469228055","1","0","1.0","11.87671306794736","1752076775024","1"
"Shopping","2016-10-04T14:02:00.000000000","1430","1920","1.791759469228055","1","0","1.0","11.990671401280695","1752076775024","1"
"BHMBCCMKT01","2016-10-04T14:02:00.000000000","238","577","1.791759469228055","2","0","1.0","11.258358070835865","1752076775024","1"
"Broad Street","2016-10-04T14:02:00.000000000","639","690","1.9459101490553132","2","0","1.0","11.849042031049395","1752076775024","1"
"Others-CCCPS135a","2016-10-04T14:02:00.000000000","3145","3883","1.791759469228055","1","0","2.0","12.805820502061877","1752076775024","1"
"Others-CCCPS202","2016-10-04T14:02:00.000000000","1352","2937","1.791759469228055","1","0","1.0","11.706213408430848","1752076775024","1"
"BHMMBMMBX01","2016-10-04T14:57:00.000000000","593","687","1.6094379124341003","1","0","0.3","11.492892173102058","1752076775046","1"
"Others-CCCPS135a","2016-10-04T14:29:00.000000000","3113","3883","1.791759469228055","1","0","0.5","11.672579451327909","1752076775046","1"
"BHMBCCMKT01","2016-10-04T14:29:00.000000000","215","577","1.3862943611198906","1","0","2.0","12.165764164962026","1752076775046","1"
"Shopping","2016-10-04T14:29:00.000000000","1429","1920","1.6094379124341003","1","0","1.0","11.898989789550383","1752076775046","1"
"BHMNCPHST01","2016-10-04T14:29:00.000000000","760","1200","1.6094379124341003","1","0","1.0","11.788052289550384","1752076775046","1"
"Broad Street","2016-10-04T14:29:00.000000000","621","690","1.6094379124341003","1","0","1.0","12.05471895621705","1752076775046","1"
"BHMEURBRD01","2016-10-04T14:02:00.000000000","446","470","1.6094379124341003","1","0","1.0","12.103655126429816","1752076775046","1"
"BHMMBMMBX01","2016-10-04T14:02:00.000000000","637","687","1.9459101490553132","2","0","1.0","11.850174870743086","1752076775046","1"
"Others-CCCPS105a","2016-10-04T14:29:00.000000000","1420","2009","2.0794415416798357","2","0","0.5","11.321540083931009","1752076775046","1"
"BHMBCCTHL01","2016-10-04T14:02:00.000000000","332","387","1.6094379124341003","1","0","1.0","12.012600093167956","1752076775046","1"
"Others-CCCPS8","2016-10-04T14:29:00.000000000","793","1322","1.6094379124341003","1","0","0.5","11.37956767028664","1752076775046","1"
"Others-CCCPS119a","2016-10-04T14:29:00.000000000","560","2803","1.6094379124341003","1","0","1.0","11.354504899848873","1752076775046","1"
"Others-CCCPS98","2016-10-04T14:29:00.000000000","1238","3103","1.791759469228055","1","0","1.0","11.644848474543128","1752076775046","1"
"Others-CCCPS202","2016-10-04T14:29:00.000000000","1318","2937","1.791759469228055","1","0","1.0","11.694636969888117","1752076775046","1"
"BHMMBMMBX01","2016-10-04T14:29:00.000000000","627","687","1.6094379124341003","1","0","2.0","12.817382711675567","1752076775046","1"
"BHMBCCTHL01","2016-10-04T14:29:00.000000000","322","387","1.3862943611198906","1","0","1.0","11.875188524229197","1752076775046","1"
"BHMBCCTHL01","2016-10-04T14:57:00.000000000","307","387","1.6094379124341003","1","0","2.0","12.69800060996382","1752076775046","1"
"BHMNCPNST01","2016-10-04T14:29:00.000000000","373","485","1.6094379124341003","1","0","1.0","11.923791121165504","1752076775046","1"
"BHMEURBRD01","2016-10-04T14:29:00.000000000","433","470","1.6094379124341003","1","0","0.5","11.70099555196173","1752076775046","1"
"Others-CCCPS119a","2016-10-04T14:57:00.000000000","529","2803","1.6094379124341003","1","0","0.5","10.968445320826397","1752076775092","1"
"BHMNCPNST01","2016-10-04T15:30:00.000000000","338","485","1.3862943611198906","0","0","1.0","12.140054397054792","1752076775092","1"
"Others-CCCPS202","2016-10-04T14:57:00.000000000","1267","2937","2.0794415416798357","2","0","0.5","11.046113348299912","1752076775092","1"
"BHMBCCMKT01","2016-10-04T14:57:00.000000000","192","577","1.3862943611198906","1","0","0.5","11.000902813142268","1752076775092","1"
"Broad Street","2016-10-04T14:57:00.000000000","606","690","1.791759469228055","1","0","1.0","12.124140604179246","1752076775092","1"
"BHMNCPNST01","2016-10-04T14:57:00.000000000","354","485","1.6094379124341003","1","0","0.5","11.509615863433545","1752076775092","1"
"Others-CCCPS8","2016-10-04T15:30:00.000000000","716","1322","1.0986122886681096","0","0","1.0","11.840909775196383","1752076775092","1"
"Others-CCCPS98","2016-10-04T14:57:00.000000000","1169","3103","1.791759469228055","1","0","1.0","11.622611929264366","1752076775092","1"
"Others-CCCPS135a","2016-10-04T15:30:00.000000000","2839","3883","1.6094379124341003","0","0","1.0","12.285854676021327","1752076775092","1"
"BHMBCCMKT01","2016-10-04T15:30:00.000000000","165","577","1.0986122886681096","0","0","1.0","11.58526801608449","1752076775092","1"
