"SystemCodeNumber","t","Occupancy","Capacity","price","time","diff"
"Others-CCCPS105a","2016-10-04T08:59:00.000000000","864","2009","10.430064708810354","1752071930432","1"
"Others-CCCPS202","2016-10-04T08:59:00.000000000","848","2937","10.288729996595166","1752071930432","1"
"Others-CCCPS202","2016-10-04T09:32:00.000000000","1036","2937","10.352740892066734","1752071930432","1"
"Others-CCCPS8","2016-10-04T09:32:00.000000000","590","1322","10.446293494704992","1752071930440","1"
"Broad Street","2016-10-04T09:32:00.000000000","530","690","10.768115942028986","1752071930440","1"
"Others-CCCPS98","2016-10-04T09:32:00.000000000","932","3103","10.300354495649371","1752071930446","1"
"Others-CCCPS105a","2016-10-04T09:32:00.000000000","1004","2009","10.499751119960179","1752071930446","1"
"Others-CCCPS119a","2016-10-04T09:32:00.000000000","420","2803","10.149839457723868","1752071930446","1"
"Shopping","2016-10-04T09:32:00.000000000","1121","1920","10.583854166666667","1752071930460","1"
"BHMBCCMKT01","2016-10-04T09:32:00.000000000","107","577","10.185441941074524","1752071930460","1"
"BHMNCPNST01","2016-10-04T09:32:00.000000000","302","485","10.622680412371134","1752071930460","1"
"BHMMBMMBX01","2016-10-04T09:32:00.000000000","414","687","10.602620087336245","1752071930460","1"
"Others-CCCPS135a","2016-10-04T09:32:00.000000000","2502","3883","10.644347154262169","1752071930460","1"
"BHMNCPHST01","2016-10-04T09:32:00.000000000","552","1200","10.46","1752071930460","1"
"Shopping","2016-10-04T09:59:00.000000000","1254","1920","10.653125","1752071930476","1"
"BHMEURBRD01","2016-10-04T09:59:00.000000000","397","470","10.84468085106383","1752071930476","1"
"BHMNCPHST01","2016-10-04T09:59:00.000000000","638","1200","10.531666666666666","1752071930476","1"
"BHMBCCTHL01","2016-10-04T09:59:00.000000000","236","387","10.609819121447028","1752071930476","1"
"Others-CCCPS98","2016-10-04T09:59:00.000000000","1052","3103","10.33902674830809","1752071930476","1"
"Others-CCCPS119a","2016-10-04T09:59:00.000000000","476","2803","10.169818052087049","1752071930476","1"
"Others-CCCPS105a","2016-10-04T09:59:00.000000000","1142","2009","10.568442010950722","1752071930476","1"
"Others-CCCPS8","2016-10-04T09:59:00.000000000","657","1322","10.49697428139183","1752071930476","1"
"BHMEURBRD01","2016-10-04T10:26:00.000000000","430","470","10.914893617021276","1752071930500","1"
"BHMNCPNST01","2016-10-04T09:59:00.000000000","327","485","10.67422680412371","1752071930500","1"
"Others-CCCPS202","2016-10-04T09:59:00.000000000","1163","2937","10.3959822948587","1752071930500","1"
"Others-CCCPS135a","2016-10-04T09:59:00.000000000","2802","3883","10.721607004893125","1752071930500","1"
"BHMBCCMKT01","2016-10-04T09:59:00.000000000","150","577","10.25996533795494","1752071930500","1"
"Broad Street","2016-10-04T09:59:00.000000000","600","690","10.869565217391305","1752071930500","1"
"BHMBCCMKT01","2016-10-04T10:26:00.000000000","177","577","10.306759098786829","1752071930500","1"
"BHMMBMMBX01","2016-10-04T09:59:00.000000000","485","687","10.705967976710335","1752071930500","1"
"Others-CCCPS98","2016-10-04T10:26:00.000000000","1142","3103","10.368030937802127","1752071930500","1"
"Others-CCCPS8","2016-10-04T10:26:00.000000000","715","1322","10.540847201210287","1752071930500","1"
"Broad Street","2016-10-04T10:26:00.000000000","642","690","10.930434782608696","1752071930500","1"
"BHMNCPHST01","2016-10-04T10:59:00.000000000","729","1200","10.6075","1752071930534","1"
"Others-CCCPS202","2016-10-04T10:26:00.000000000","1257","2937","10.427987742594484","1752071930534","1"
"Others-CCCPS119a","2016-10-04T10:26:00.000000000","525","2803","10.187299322154834","1752071930534","1"
"Others-CCCPS105a","2016-10-04T10:26:00.000000000","1245","2009","10.619711299153808","1752071930534","1"
"Others-CCCPS202","2016-10-04T10:59:00.000000000","1354","2937","10.461014640789921","1752071930534","1"
"Shopping","2016-10-04T10:59:00.000000000","1387","1920","10.722395833333334","1752071930534","1"
"Others-CCCPS98","2016-10-04T10:59:00.000000000","1210","3103","10.389945214308733","1752071930534","1"
"BHMNCPHST01","2016-10-04T10:26:00.000000000","686","1200","10.571666666666667","1752071930534","1"
"BHMNCPNST01","2016-10-04T10:26:00.000000000","351","485","10.723711340206185","1752071930534","1"
"BHMMBMMBX01","2016-10-04T10:26:00.000000000","530","687","10.771470160116449","1752071930534","1"
"BHMBCCTHL01","2016-10-04T10:26:00.000000000","264","387","10.682170542635658","1752071930534","1"
"Shopping","2016-10-04T10:26:00.000000000","1324","1920","10.689583333333333","1752071930534","1"
"Others-CCCPS135a","2016-10-04T10:26:00.000000000","3035","3883","10.781612155549833","1752071930534","1"
"BHMBCCMKT01","2016-10-04T10:59:00.000000000","219","577","10.379549393414212","1752071930556","1"
"Others-CCCPS135a","2016-10-04T10:59:00.000000000","3169","3883","10.816121555498325","1752071930556","1"
"Others-CCCPS119a","2016-10-04T10:59:00.000000000","574","2803","10.204780592222619","1752071930556","1"
"BHMMBMMBX01","2016-10-04T10:59:00.000000000","573","687","10.83406113537118","1752071930556","1"
"BHMBCCTHL01","2016-10-04T10:59:00.000000000","308","387","10.795865633074936","1752071930556","1"
"BHMNCPNST01","2016-10-04T10:59:00.000000000","371","485","10.764948453608248","1752071930556","1"
"Others-CCCPS8","2016-10-04T10:59:00.000000000","791","1322","10.598335854765507","1752071930556","1"
"Broad Street","2016-10-04T10:59:00.000000000","675","690","10.978260869565217","1752071930556","1"
"BHMEURBRD01","2016-10-04T10:59:00.000000000","458","470","10.974468085106382","1752071930580","1"
"Others-CCCPS105a","2016-10-04T10:59:00.000000000","1364","2009","10.67894474863116","1752071930580","1"
"Shopping","2016-10-04T11:25:00.000000000","1428","1920","10.74375","1752071930580","1"
"Others-CCCPS8","2016-10-04T11:25:00.000000000","820","1322","10.620272314674736","1752071930610","1"
"BHMNCPHST01","2016-10-04T11:25:00.000000000","765","1200","10.6375","1752071930610","1"
"Others-CCCPS105a","2016-10-04T11:25:00.000000000","1424","2009","10.708810353409657","1752071930610","1"
"BHMBCCMKT01","2016-10-04T11:25:00.000000000","247","577","10.428076256499134","1752071930610","1"
"BHMEURBRD01","2016-10-04T11:25:00.000000000","464","470","10.987234042553192","1752071930610","1"
"Others-CCCPS202","2016-10-04T11:25:00.000000000","1369","2937","10.466121893088186","1752071930610","1"
"Others-CCCPS98","2016-10-04T11:25:00.000000000","1241","3103","10.399935546245569","1752071930610","1"
"BHMNCPNST01","2016-10-04T11:25:00.000000000","373","485","10.769072164948454","1752071930630","1"
"Others-CCCPS98","2016-10-04T11:59:00.000000000","1288","3103","10.415082178536899","1752071930630","1"
"Broad Street","2016-10-04T11:25:00.000000000","672","690","10.97391304347826","1752071930630","1"
"BHMBCCTHL01","2016-10-04T11:25:00.000000000","324","387","10.837209302325581","1752071930630","1"
"BHMMBMMBX01","2016-10-04T11:25:00.000000000","604","687","10.879184861717613","1752071930630","1"
"Others-CCCPS119a","2016-10-04T11:25:00.000000000","588","2803","10.209775240813414","1752071930630","1"
"Others-CCCPS135a","2016-10-04T11:25:00.000000000","3221","3883","10.829513262941026","1752071930630","1"
"Others-CCCPS105a","2016-10-04T11:59:00.000000000","1470","2009","10.731707317073171","1752071930674","1"
"BHMNCPNST01","2016-10-04T11:59:00.000000000","381","485","10.78556701030928","1752071930674","1"
"Shopping","2016-10-04T12:29:00.000000000","1460","1920","10.760416666666666","1752071930674","1"
"BHMMBMMBX01","2016-10-04T11:59:00.000000000","634","687","10.922852983988355","1752071930674","1"
"Broad Street","2016-10-04T11:59:00.000000000","677","690","10.981159420289854","1752071930674","1"
"BHMBCCMKT01","2016-10-04T11:59:00.000000000","259","577","10.448873483535529","1752071930674","1"
"BHMEURBRD01","2016-10-04T11:59:00.000000000","460","470","10.97872340425532","1752071930674","1"
"BHMNCPHST01","2016-10-04T11:59:00.000000000","771","1200","10.6425","1752071930674","1"
"BHMBCCTHL01","2016-10-04T11:59:00.000000000","332","387","10.857881136950905","1752071930674","1"
"Others-CCCPS8","2016-10-04T11:59:00.000000000","836","1322","10.632375189107414","1752071930674","1"
"Others-CCCPS119a","2016-10-04T11:59:00.000000000","605","2803","10.215840171245095","1752071930674","1"
"Others-CCCPS135a","2016-10-04T11:59:00.000000000","3248","3883","10.836466649497812","1752071930674","1"
"Shopping","2016-10-04T11:59:00.000000000","1447","1920","10.753645833333334","1752071930674","1"
"Others-CCCPS202","2016-10-04T11:59:00.000000000","1390","2937","10.473272046305754","1752071930674","1"
"Others-CCCPS202","2016-10-04T12:29:00.000000000","1397","2937","10.47565543071161","1752071930690","1"
"BHMNCPHST01","2016-10-04T12:29:00.000000000","779","1200","10.649166666666666","1752071930690","1"
"Others-CCCPS135a","2016-10-04T12:29:00.000000000","3251","3883","10.83723924800412","1752071930690","1"
"BHMBCCMKT01","2016-10-04T12:29:00.000000000","266","577","10.46100519930676","1752071930690","1"
"BHMNCPNST01","2016-10-04T12:29:00.000000000","379","485","10.781443298969073","1752071930734","1"
"Others-CCCPS8","2016-10-04T13:02:00.000000000","810","1322","10.612708018154311","1752071930734","1"
"BHMNCPNST01","2016-10-04T12:56:00.000000000","374","485","10.771134020618558","1752071930734","1"
"BHMBCCTHL01","2016-10-04T12:29:00.000000000","334","387","10.863049095607234","1752071930734","1"
"Others-CCCPS98","2016-10-04T12:29:00.000000000","1297","3103","10.417982597486304","1752071930734","1"
"BHMMBMMBX01","2016-10-04T12:29:00.000000000","648","687","10.943231441048034","1752071930734","1"
"Broad Street","2016-10-04T12:29:00.000000000","683","690","10.989855072463769","1752071930734","1"
"BHMEURBRD01","2016-10-04T12:29:00.000000000","464","470","10.987234042553192","1752071930734","1"
"Others-CCCPS8","2016-10-04T12:29:00.000000000","836","1322","10.632375189107414","1752071930734","1"
"Others-CCCPS105a","2016-10-04T12:29:00.000000000","1484","2009","10.738675958188153","1752071930734","1"
"Shopping","2016-10-04T13:02:00.000000000","1448","1920","10.754166666666666","1752071930734","1"
"Others-CCCPS119a","2016-10-04T12:29:00.000000000","604","2803","10.215483410631466","1752071930734","1"
"BHMNCPNST01","2016-10-04T13:29:00.000000000","375","485","10.77319587628866","1752071930772","1"
"BHMBCCMKT01","2016-10-04T13:29:00.000000000","263","577","10.45580589254766","1752071930772","1"
"Others-CCCPS202","2016-10-04T13:02:00.000000000","1367","2937","10.465440926115084","1752071930772","1"
"BHMEURBRD01","2016-10-04T13:02:00.000000000","458","470","10.974468085106382","1752071930772","1"
"BHMBCCTHL01","2016-10-04T13:02:00.000000000","333","387","10.86046511627907","1752071930772","1"
"BHMMBMMBX01","2016-10-04T13:02:00.000000000","651","687","10.947598253275109","1752071930772","1"
"Others-CCCPS119a","2016-10-04T13:02:00.000000000","596","2803","10.21262932572244","1752071930772","1"
"Others-CCCPS105a","2016-10-04T13:02:00.000000000","1461","2009","10.727227476356397","1752071930772","1"
"Broad Street","2016-10-04T13:02:00.000000000","660","690","10.956521739130435","1752071930772","1"
"Others-CCCPS135a","2016-10-04T13:02:00.000000000","3232","3883","10.832346124130826","1752071930772","1"
"BHMNCPHST01","2016-10-04T13:02:00.000000000","773","1200","10.644166666666667","1752071930772","1"
"Others-CCCPS98","2016-10-04T13:02:00.000000000","1288","3103","10.415082178536899","1752071930772","1"
"BHMMBMMBX01","2016-10-04T13:29:00.000000000","648","687","10.943231441048034","1752071930772","1"
"BHMBCCMKT01","2016-10-04T13:02:00.000000000","269","577","10.466204506065857","1752071930772","1"
"Broad Street","2016-10-04T13:29:00.000000000","648","690","10.939130434782609","1752071930810","1"
"BHMEURBRD01","2016-10-04T13:29:00.000000000","450","470","10.957446808510639","1752071930810","1"
"Others-CCCPS105a","2016-10-04T13:29:00.000000000","1459","2009","10.726231956197113","1752071930810","1"
"Others-CCCPS98","2016-10-04T13:29:00.000000000","1273","3103","10.41024814695456","1752071930810","1"
"Others-CCCPS8","2016-10-04T13:29:00.000000000","811","1322","10.613464447806354","1752071930810","1"
"BHMNCPHST01","2016-10-04T13:29:00.000000000","758","1200","10.631666666666666","1752071930810","1"
"BHMBCCTHL01","2016-10-04T13:29:00.000000000","331","387","10.85529715762274","1752071930810","1"
"Others-CCCPS135a","2016-10-04T13:29:00.000000000","3184","3883","10.819984548029874","1752071930810","1"
"Others-CCCPS202","2016-10-04T13:29:00.000000000","1360","2937","10.463057541709228","1752071930810","1"
"Shopping","2016-10-04T13:29:00.000000000","1432","1920","10.745833333333334","1752071930810","1"
"Others-CCCPS119a","2016-10-04T13:29:00.000000000","581","2803","10.207277916518017","1752071930810","1"
"Others-CCCPS119a","2016-10-04T14:02:00.000000000","576","2803","10.205494113449875","1752071930856","1"
"BHMEURBRD01","2016-10-04T14:02:00.000000000","446","470","10.948936170212766","1752071930856","1"
"BHMMBMMBX01","2016-10-04T14:02:00.000000000","637","687","10.927219796215429","1752071930856","1"
"Others-CCCPS8","2016-10-04T14:02:00.000000000","815","1322","10.616490166414524","1752071930856","1"
"BHMBCCTHL01","2016-10-04T14:02:00.000000000","332","387","10.857881136950905","1752071930856","1"
"Others-CCCPS105a","2016-10-04T14:02:00.000000000","1452","2009","10.722747635639621","1752071930856","1"
"BHMNCPNST01","2016-10-04T14:02:00.000000000","381","485","10.78556701030928","1752071930856","1"
"Others-CCCPS98","2016-10-04T14:02:00.000000000","1262","3103","10.406703190460844","1752071930856","1"
"BHMNCPHST01","2016-10-04T14:02:00.000000000","757","1200","10.630833333333333","1752071930856","1"
"Shopping","2016-10-04T14:02:00.000000000","1430","1920","10.744791666666666","1752071930856","1"
"BHMBCCMKT01","2016-10-04T14:02:00.000000000","238","577","10.412478336221836","1752071930856","1"
"Broad Street","2016-10-04T14:02:00.000000000","639","690","10.92608695652174","1752071930856","1"
"Others-CCCPS135a","2016-10-04T14:02:00.000000000","3145","3883","10.80994076744785","1752071930856","1"
"Others-CCCPS202","2016-10-04T14:02:00.000000000","1352","2937","10.46033367381682","1752071930856","1"
"Others-CCCPS135a","2016-10-04T14:29:00.000000000","3113","3883","10.80169971671388","1752071930908","1"
"BHMBCCMKT01","2016-10-04T14:29:00.000000000","215","577","10.37261698440208","1752071930908","1"
"Shopping","2016-10-04T14:29:00.000000000","1429","1920","10.744270833333333","1752071930908","1"
"Others-CCCPS119a","2016-10-04T14:29:00.000000000","560","2803","10.199785943631824","1752071930908","1"
"Others-CCCPS202","2016-10-04T14:29:00.000000000","1318","2937","10.448757235274089","1752071930908","1"
"BHMMBMMBX01","2016-10-04T14:29:00.000000000","627","687","10.912663755458516","1752071930908","1"
"BHMBCCTHL01","2016-10-04T14:29:00.000000000","322","387","10.83204134366925","1752071930908","1"
"BHMEURBRD01","2016-10-04T14:29:00.000000000","433","470","10.921276595744681","1752071930908","1"
"Others-CCCPS119a","2016-10-04T14:57:00.000000000","529","2803","10.188726364609348","1752071930962","1"
"BHMMBMMBX01","2016-10-04T14:57:00.000000000","593","687","10.863173216885007","1752071930962","1"
"Others-CCCPS202","2016-10-04T14:57:00.000000000","1267","2937","10.431392577459993","1752071930962","1"
"BHMBCCMKT01","2016-10-04T14:57:00.000000000","192","577","10.332755632582323","1752071930962","1"
"BHMNCPHST01","2016-10-04T14:29:00.000000000","760","1200","10.633333333333333","1752071930962","1"
"Broad Street","2016-10-04T14:57:00.000000000","606","690","10.878260869565217","1752071930962","1"
"BHMNCPNST01","2016-10-04T14:57:00.000000000","354","485","10.729896907216494","1752071930962","1"
"Broad Street","2016-10-04T14:29:00.000000000","621","690","10.9","1752071930962","1"
"Others-CCCPS98","2016-10-04T14:57:00.000000000","1169","3103","10.376732194650339","1752071930962","1"
"Others-CCCPS8","2016-10-04T14:57:00.000000000","753","1322","10.569591527987898","1752071930962","1"
"Others-CCCPS105a","2016-10-04T14:29:00.000000000","1420","2009","10.70681931309109","1752071930962","1"
"Others-CCCPS8","2016-10-04T14:29:00.000000000","793","1322","10.59984871406959","1752071930962","1"
"Others-CCCPS135a","2016-10-04T14:57:00.000000000","3011","3883","10.775431367499356","1752071930962","1"
"Others-CCCPS98","2016-10-04T14:29:00.000000000","1238","3103","10.398968739929101","1752071930962","1"
"BHMNCPHST01","2016-10-04T14:57:00.000000000","727","1200","10.605833333333333","1752071930962","1"
"BHMBCCTHL01","2016-10-04T14:57:00.000000000","307","387","10.79328165374677","1752071930962","1"
"BHMNCPNST01","2016-10-04T14:29:00.000000000","373","485","10.769072164948454","1752071930962","1"
"Shopping","2016-10-04T14:57:00.000000000","1381","1920","10.719270833333333","1752071930962","1"
"BHMEURBRD01","2016-10-04T14:57:00.000000000","426","470","10.906382978723403","1752071930962","1"
"Others-CCCPS105a","2016-10-04T14:57:00.000000000","1346","2009","10.669985067197612","1752071930962","1"
"Broad Street","2016-10-04T15:30:00.000000000","581","690","10.842028985507246","1752071930962","1"
"BHMNCPNST01","2016-10-04T15:30:00.000000000","338","485","10.696907216494845","1752071931020","1"
"Others-CCCPS202","2016-10-04T16:04:00.000000000","1121","2937","10.381681988423562","1752071931020","1"
"BHMMBMMBX01","2016-10-04T16:04:00.000000000","511","687","10.743813682678311","1752071931020","1"
"Others-CCCPS8","2016-10-04T15:30:00.000000000","716","1322","10.54160363086233","1752071931020","1"
"Others-CCCPS135a","2016-10-04T15:30:00.000000000","2839","3883","10.731135719804275","1752071931020","1"
"BHMBCCMKT01","2016-10-04T15:30:00.000000000","165","577","10.285961871750434","1752071931020","1"
"BHMNCPHST01","2016-10-04T15:30:00.000000000","678","1200","10.565","1752071931020","1"
"Others-CCCPS98","2016-10-04T15:30:00.000000000","1127","3103","10.363196906219788","1752071931020","1"
"BHMNCPHST01","2016-10-04T16:04:00.000000000","648","1200","10.54","1752071931020","1"
"Others-CCCPS202","2016-10-04T15:30:00.000000000","1213","2937","10.413006469186245","1752071931020","1"
"Others-CCCPS105a","2016-10-04T15:30:00.000000000","1288","2009","10.641114982578397","1752071931020","1"
"BHMBCCTHL01","2016-10-04T15:30:00.000000000","294","387","10.75968992248062","1752071931020","1"
"BHMBCCTHL01","2016-10-04T16:04:00.000000000","270","387","10.69767441860465","1752071931020","1"
"Others-CCCPS8","2016-10-04T16:04:00.000000000","664","1322","10.502269288956127","1752071931020","1"
"Broad Street","2016-10-04T16:04:00.000000000","534","690","10.773913043478261","1752071931020","1"
"BHMEURBRD01","2016-10-04T15:30:00.000000000","411","470","10.874468085106383","1752071931020","1"
"BHMNCPNST01","2016-10-04T16:04:00.000000000","317","485","10.65360824742268","1752071931020","1"
"BHMMBMMBX01","2016-10-04T15:30:00.000000000","572","687","10.832605531295489","1752071931020","1"
"BHMBCCMKT01","2016-10-04T16:04:00.000000000","162","577","10.280762564991335","1752071931020","1"
"Others-CCCPS119a","2016-10-04T15:30:00.000000000","511","2803","10.182304673564039","1752071931020","1"
"Shopping","2016-10-04T15:30:00.000000000","1300","1920","10.677083333333334","1752071931020","1"
"Others-CCCPS119a","2016-10-04T16:04:00.000000000","461","2803","10.164466642882626","1752071931020","1"
"BHMMBMMBX01","2016-10-04T16:31:00.000000000","471","687","10.685589519650655","1752071931082","1"
"BHMNCPHST01","2016-10-04T16:31:00.000000000","565","1200","10.470833333333333","1752071931082","1"
"Others-CCCPS105a","2016-10-04T16:04:00.000000000","1175","2009","10.584868093578894","1752071931082","1"
"BHMMBMMBX01","2016-10-05T07:57:00.000000000","282","687","10.410480349344978","1752071931082","1"
"Others-CCCPS98","2016-10-04T16:04:00.000000000","1019","3103","10.328391878826942","1752071931082","1"
"Others-CCCPS119a","2016-10-04T16:31:00.000000000","406","2803","10.144844809133073","1752071931082","1"
"Others-CCCPS119a","2016-10-05T07:57:00.000000000","246","2803","10.087763110952551","1752071931082","1"
"BHMEURBRD01","2016-10-04T16:04:00.000000000","376","470","10.8","1752071931082","1"
"Shopping","2016-10-04T16:04:00.000000000","1218","1920","10.634375","1752071931082","1"
"BHMBCCTHL01","2016-10-04T16:31:00.000000000","245","387","10.633074935400517","1752071931082","1"
"Broad Street","2016-10-04T16:31:00.000000000","466","690","10.67536231884058","1752071931082","1"
"BHMEURBRD01","2016-10-04T16:31:00.000000000","325","470","10.691489361702128","1752071931082","1"
"Shopping","2016-10-04T16:31:00.000000000","1075","1920","10.559895833333334","1752071931082","1"
"Others-CCCPS105a","2016-10-05T07:57:00.000000000","735","2009","10.365853658536585","1752071931082","1"
"Others-CCCPS105a","2016-10-04T16:31:00.000000000","1089","2009","10.542060726729716","1752071931082","1"
"Shopping","2016-10-05T07:57:00.000000000","602","1920","10.313541666666667","1752071931082","1"
"BHMBCCMKT01","2016-10-04T16:31:00.000000000","143","577","10.247833622183709","1752071931082","1"
"Others-CCCPS135a","2016-10-04T16:04:00.000000000","2656","3883","10.684007210919392","1752071931082","1"
"Others-CCCPS135a","2016-10-04T16:31:00.000000000","2359","3883","10.607519958794747","1752071931082","1"
"Others-CCCPS98","2016-10-04T16:31:00.000000000","936","3103","10.301643570737996","1752071931082","1"
"BHMNCPNST01","2016-10-04T16:31:00.000000000","304","485","10.62680412371134","1752071931082","1"
"Others-CCCPS202","2016-10-04T16:31:00.000000000","1015","2937","10.345590738849166","1752071931082","1"
"Others-CCCPS8","2016-10-05T07:57:00.000000000","453","1322","10.34266263237519","1752071931082","1"
"Others-CCCPS8","2016-10-04T16:31:00.000000000","618","1322","10.467473524962179","1752071931082","1"
"Broad Street","2016-10-05T08:30:00.000000000","294","690","10.42608695652174","1752071931124","1"
"Others-CCCPS135a","2016-10-05T08:30:00.000000000","1599","3883","10.411795003862993","1752071931124","1"
"Others-CCCPS105a","2016-10-05T08:30:00.000000000","817","2009","10.406669985067198","1752071931124","1"
"BHMBCCMKT01","2016-10-05T07:57:00.000000000","54","577","10.093587521663778","1752071931124","1"
"BHMEURBRD01","2016-10-05T07:57:00.000000000","127","470","10.270212765957448","1752071931124","1"
"BHMBCCTHL01","2016-10-05T07:57:00.000000000","146","387","10.377260981912144","1752071931124","1"
"Broad Street","2016-10-05T07:57:00.000000000","180","690","10.26086956521739","1752071931124","1"
"BHMNCPHST01","2016-10-05T08:30:00.000000000","333","1200","10.2775","1752071931124","1"
"Others-CCCPS8","2016-10-05T08:30:00.000000000","487","1322","10.368381240544629","1752071931124","1"
"BHMBCCMKT01","2016-10-05T08:30:00.000000000","59","577","10.102253032928942","1752071931124","1"
"Others-CCCPS119a","2016-10-05T08:30:00.000000000","326","2803","10.116303960042812","1752071931124","1"
"BHMBCCTHL01","2016-10-05T08:30:00.000000000","169","387","10.436692506459949","1752071931124","1"
"Shopping","2016-10-05T08:30:00.000000000","779","1920","10.405729166666667","1752071931124","1"
"BHMNCPHST01","2016-10-05T07:57:00.000000000","229","1200","10.190833333333334","1752071931124","1"
"BHMNCPNST01","2016-10-05T07:57:00.000000000","268","485","10.552577319587629","1752071931124","1"
"Others-CCCPS98","2016-10-05T07:57:00.000000000","650","3103","10.209474701901385","1752071931124","1"
"Others-CCCPS202","2016-10-05T07:57:00.000000000","594","2937","10.202247191011235","1752071931124","1"
"Others-CCCPS135a","2016-10-05T07:57:00.000000000","1104","3883","10.284316250321917","1752071931124","1"
"Shopping","2016-10-05T09:30:00.000000000","1138","1920","10.592708333333333","1752071931232","1"
"BHMNCPNST01","2016-10-05T08:30:00.000000000","273","485","10.562886597938144","1752071931232","1"
"BHMMBMMBX01","2016-10-05T09:30:00.000000000","464","687","10.675400291120814","1752071931232","1"
"BHMNCPHST01","2016-10-05T09:04:00.000000000","470","1200","10.391666666666667","1752071931232","1"
"BHMMBMMBX01","2016-10-05T08:30:00.000000000","330","687","10.480349344978166","1752071931232","1"
"BHMNCPNST01","2016-10-05T09:30:00.000000000","317","485","10.65360824742268","1752071931232","1"
